Match Day Number,Date of the Game,Home Team,Away Team,Result,Goal Scorers,Yellow Cards,Yellow Card Players,Red Cards,Red Card Players,Attendance
1,2023-08-18 20:30,Bergland Bears,Mainburg Lions,5-2,"Yusuf Larsen, Patrick Kaya, Mamadou Traoré, Timo Kaya, Lukas Lehmann, Yusuf Lehmann, Santiago Huber",3,"Marco Larsen, Jonas Traoré, Lukas García",1,Lukas Larsen,19545
1,2023-08-18 15:30,Rheinblick Rovers,Sonnendorf Stars,3-3,"Lukas Silva, Santiago Becker, Mamadou García, Ismael Schmidt, Mamadou Traoré, Yusuf García",0,,0,,44477
1,2023-08-18 15:30,Blitzstadt Lightning,Elbwelle Titans,4-3,"Mamadou Silva, Florian García, Santiago Larsen, Florian Schmidt, Ismael García, Ismael Silva, Santiago Müller",3,"Lukas Lehmann, Jonas Silva, Timo Krämer",0,,42453
1,2023-08-18 15:30,Donnerwald Thunder,Eisbach Falcons,1-2,"Emil Lehmann, Lukas Traoré, Patrick Larsen",3,"Patrick Larsen, Jonas Schmidt, Timo Kaya",1,Lukas Müller,26008
1,2023-08-18 15:30,Adlerstadt Eagles,Ostheim Phoenix,5-3,"Florian Müller, Patrick Larsen, Santiago Müller, Florian Becker, Timo Krämer, Yusuf Krämer, Ismael García, Marco Huber",2,"Ismael Becker, Mamadou Larsen",0,,69464
1,2023-08-18 15:30,Schwarzwald Strikers,Kaiserstadt Kings,5-5,"Mamadou Krämer, Santiago Becker, Jonas Krämer, Emil Lehmann, Patrick Krämer, Santiago Traoré, Jonas Lehmann, Patrick Silva, Marco Becker, Timo Krämer",1,Timo Krämer,1,Mamadou Huber,34471
1,2023-08-18 18:30,Bayerhafen Dynamo,Hansestadt Gladiators,4-1,"Ismael Müller, Ismael Huber, Jonas Huber, Emil Silva, Santiago Kaya",3,"Ismael Müller, Timo Lehmann, Jonas Schmidt",1,Patrick Larsen,58573
1,2023-08-18 15:30,Weserwind Wolves,Hafenstadt Mariners,0-2,"Jonas Müller, Patrick Schmidt",0,,0,,35218
1,2023-08-18 17:30,Alpenheim Warriors,Nordsee Navigators,4-3,"Ismael Silva, Marco Schmidt, Santiago Silva, Ismael Kaya, Jonas Huber, Florian Huber, Jonas Krämer",2,"Patrick Schmidt, Jonas Kaya",1,Jonas Kaya,19880
2,2023-08-25 20:30,Blitzstadt Lightning,Donnerwald Thunder,5-4,"Lukas Müller, Mamadou Larsen, Lukas Müller, Emil Müller, Ismael Becker, Ismael Silva, Lukas Krämer, Lukas Huber, Timo Krämer",4,"Yusuf Kaya, Florian Becker, Yusuf Lehmann, Emil Larsen",0,,37148
2,2023-08-25 15:30,Kaiserstadt Kings,Rheinblick Rovers,1-4,"Yusuf Schmidt, Jonas Becker, Patrick Krämer, Patrick Krämer, Marco Schmidt",3,"Ismael Krämer, Yusuf Schmidt, Jonas Krämer",0,,51283
2,2023-08-25 15:30,Sonnendorf Stars,Bergland Bears,4-3,"Timo Silva, Mamadou García, Jonas Traoré, Patrick Krämer, Florian Silva, Mamadou Krämer, Patrick Kaya",4,"Florian Lehmann, Patrick Krämer, Lukas Larsen, Marco Krämer",0,,31701
2,2023-08-25 15:30,Hafenstadt Mariners,Schwarzwald Strikers,1-2,"Timo Lehmann, Lukas Krämer, Timo Krämer",3,"Santiago Müller, Timo Müller, Lukas Müller",0,,34487
2,2023-08-25 15:30,Weserwind Wolves,Nordsee Navigators,3-1,"Emil Lehmann, Florian Huber, Jonas Silva, Marco Schmidt",2,"Yusuf Lehmann, Emil Huber",1,Patrick Becker,30286
2,2023-08-25 15:30,Elbwelle Titans,Hansestadt Gladiators,2-2,"Lukas Larsen, Mamadou Müller, Emil Becker, Florian Traoré",0,,1,Emil Traoré,22138
2,2023-08-25 18:30,Adlerstadt Eagles,Eisbach Falcons,5-2,"Florian Larsen, Lukas Silva, Marco Kaya, Marco Huber, Ismael Traoré, Emil García, Santiago Lehmann",0,,1,Marco Huber,68265
2,2023-08-25 15:30,Bayerhafen Dynamo,Alpenheim Warriors,5-2,"Jonas Schmidt, Jonas Schmidt, Ismael Silva, Jonas Huber, Jonas Müller, Patrick Lehmann, Emil Becker",1,Yusuf Lehmann,1,Jonas Krämer,46239
2,2023-08-25 17:30,Ostheim Phoenix,Mainburg Lions,5-1,"Patrick Müller, Yusuf Krämer, Marco Lehmann, Lukas Müller, Patrick Lehmann, Emil Huber",1,Patrick Kaya,0,,25573
3,2023-09-01 20:30,Mainburg Lions,Kaiserstadt Kings,3-3,"Jonas Krämer, Lukas Müller, Santiago Huber, Ismael Kaya, Ismael Larsen, Jonas Becker",1,Jonas Becker,0,,48363
3,2023-09-01 15:30,Elbwelle Titans,Hafenstadt Mariners,3-4,"Patrick García, Mamadou Müller, Yusuf Krämer, Ismael Krämer, Florian Schmidt, Timo Huber, Lukas Krämer",3,"Ismael Traoré, Yusuf Schmidt, Patrick Schmidt",0,,21085
3,2023-09-01 15:30,Bergland Bears,Eisbach Falcons,5-5,"Santiago Larsen, Ismael Schmidt, Lukas García, Jonas Becker, Emil Traoré, Ismael Schmidt, Ismael Lehmann, Jonas Traoré, Jonas Schmidt, Mamadou Krämer",1,Santiago Larsen,0,,17934
3,2023-09-01 15:30,Rheinblick Rovers,Alpenheim Warriors,1-3,"Patrick Schmidt, Ismael Schmidt, Marco Huber, Emil Silva",0,,1,Ismael Silva,43718
3,2023-09-01 15:30,Nordsee Navigators,Blitzstadt Lightning,5-4,"Lukas Silva, Florian Becker, Florian Larsen, Santiago Huber, Florian Huber, Emil Larsen, Emil Lehmann, Lukas Huber, Patrick Schmidt",3,"Timo Krämer, Yusuf Müller, Santiago Müller",1,Marco Huber,39874
3,2023-09-01 15:30,Schwarzwald Strikers,Bayerhafen Dynamo,1-4,"Emil Silva, Emil Larsen, Mamadou Krämer, Mamadou Krämer, Santiago Kaya",0,,0,,30590
3,2023-09-01 18:30,Adlerstadt Eagles,Sonnendorf Stars,5-4,"Jonas Lehmann, Timo Silva, Florian Lehmann, Yusuf Becker, Jonas Silva, Florian Silva, Florian Lehmann, Mamadou García, Lukas Müller",2,"Mamadou García, Ismael García",0,,56643
3,2023-09-01 15:30,Donnerwald Thunder,Weserwind Wolves,1-4,"Patrick Becker, Yusuf Müller, Ismael Larsen, Patrick Larsen, Marco Krämer",2,"Marco García, Lukas García",0,,24118
3,2023-09-01 17:30,Hansestadt Gladiators,Ostheim Phoenix,1-3,"Emil Lehmann, Marco Lehmann, Jonas Huber, Marco Traoré",2,"Ismael Huber, Emil Silva",1,Emil Huber,40205
4,2023-09-08 20:30,Hansestadt Gladiators,Adlerstadt Eagles,0-5,"Yusuf Huber, Lukas Silva, Ismael Kaya, Patrick Silva, Jonas Kaya",4,"Mamadou Müller, Patrick Larsen, Jonas Huber, Timo Lehmann",1,Marco Krämer,33079
4,2023-09-08 15:30,Mainburg Lions,Rheinblick Rovers,3-4,"Ismael Traoré, Florian Traoré, Santiago Lehmann, Mamadou Silva, Patrick Krämer, Marco Larsen, Emil Huber",0,,0,,44023
4,2023-09-08 15:30,Weserwind Wolves,Bayerhafen Dynamo,4-0,"Santiago Huber, Timo Huber, Lukas Huber, Santiago Krämer",0,,0,,34089
4,2023-09-08 15:30,Elbwelle Titans,Ostheim Phoenix,5-1,"Ismael García, Emil Schmidt, Santiago Kaya, Lukas Krämer, Ismael García, Jonas Larsen",1,Yusuf Schmidt,0,,23784
4,2023-09-08 15:30,Hafenstadt Mariners,Eisbach Falcons,4-3,"Marco Huber, Timo Müller, Patrick García, Yusuf Schmidt, Jonas Becker, Lukas Lehmann, Ismael Traoré",0,,1,Lukas Lehmann,33782
4,2023-09-08 15:30,Alpenheim Warriors,Blitzstadt Lightning,2-1,"Ismael Silva, Emil García, Santiago Huber",1,Lukas Müller,0,,24293
4,2023-09-08 18:30,Nordsee Navigators,Kaiserstadt Kings,1-1,"Patrick Schmidt, Ismael Larsen",4,"Jonas Lehmann, Mamadou Larsen, Jonas Becker, Jonas Krämer",1,Jonas Lehmann,29435
