Team Name,Surname,Lastname,Nationality,Age,Height (cm),Weight (kg),Market Value (EURO),Strong Foot,Position,Homegrown Player,International Player,International Games
Adlerstadt Eagles,Ismael,García,Poland,34,197,70,6155053,Left,CDM,Yes,No,0
Adlerstadt Eagles,Jonas,Kaya,Netherlands,27,170,70,9882001,Right,CDM,No,Yes,0
Adlerstadt Eagles,Jonas,Silva,Turkey,24,195,68,8400237,Right,RM,No,Yes,0
Adlerstadt Eagles,Marco,Huber,Japan,34,177,73,9400717,Right,RWB,No,Yes,0
Adlerstadt Eagles,Ismael,Müller,England,28,187,64,3059052,Right,LM,No,No,30
Adlerstadt Eagles,Mamadou,Larsen,Brazil,29,184,87,7250569,Left,CAM,Yes,Yes,0
Adlerstadt Eagles,Florian,Müller,Poland,25,165,75,5681994,Right,LW,Yes,No,36
Adlerstadt Eagles,Yusuf,Huber,England,34,167,61,8854448,Right,LW,No,No,0
Adlerstadt Eagles,Lukas,Silva,Senegal,33,182,89,5838929,Both,RB,No,Yes,3
Adlerstadt Eagles,Ismael,Traoré,Poland,21,192,83,6130644,Both,RB,No,Yes,0
Adlerstadt Eagles,Santiago,Müller,England,34,189,85,3610509,Both,RB,No,No,0
Adlerstadt Eagles,Santiago,Lehmann,Brazil,20,188,71,2313488,Right,LB,No,No,0
Adlerstadt Eagles,Mamadou,Kaya,Poland,22,178,67,4983845,Left,ST,No,No,9
Adlerstadt Eagles,Florian,Becker,Italy,25,191,65,4764874,Left,SS,No,Yes,0
Adlerstadt Eagles,Lukas,Müller,Brazil,29,173,75,5289265,Right,CM,Yes,No,0
Adlerstadt Eagles,Florian,Larsen,Germany,34,200,78,5385308,Right,CAM,Yes,Yes,0
Adlerstadt Eagles,Timo,Krämer,Brazil,32,193,81,7381033,Left,RW,Yes,Yes,0
Adlerstadt Eagles,Patrick,Larsen,Argentina,21,173,74,2777884,Both,RM,No,Yes,11
Adlerstadt Eagles,Marco,Lehmann,Netherlands,25,187,82,2086879,Both,CB,Yes,Yes,0
Adlerstadt Eagles,Florian,Larsen,Poland,29,183,67,4591137,Right,CDM,Yes,Yes,0
Rheinblick Rovers,Lukas,Silva,England,34,174,60,3213935,Right,ST,Yes,No,0
Rheinblick Rovers,Patrick,Kaya,Netherlands,32,177,87,4447871,Both,RW,Yes,No,25
Rheinblick Rovers,Marco,Schmidt,Argentina,32,173,85,7454608,Left,LWB,Yes,Yes,0
Rheinblick Rovers,Timo,Becker,Argentina,28,185,75,5966304,Right,CF,Yes,No,0
Rheinblick Rovers,Santiago,Lehmann,Denmark,18,165,86,8734623,Left,RWB,No,Yes,0
Rheinblick Rovers,Mamadou,Silva,Argentina,21,186,71,6026422,Both,RWB,No,Yes,0
Rheinblick Rovers,Florian,Traoré,Netherlands,22,197,87,3104012,Right,SS,No,Yes,21
Rheinblick Rovers,Santiago,Lehmann,Ivory Coast,31,165,80,7683460,Left,LB,Yes,Yes,38
Rheinblick Rovers,Ismael,Krämer,Japan,35,172,68,9862163,Both,LM,Yes,Yes,0
Rheinblick Rovers,Marco,Huber,Japan,16,189,82,5844659,Both,RW,No,No,46
Rheinblick Rovers,Emil,Silva,Senegal,25,179,67,8655480,Left,CAM,No,Yes,0
Rheinblick Rovers,Patrick,Krämer,Senegal,20,168,73,3135404,Left,GK,Yes,Yes,32
Rheinblick Rovers,Santiago,Silva,Turkey,22,190,72,4464243,Right,RW,Yes,Yes,35
Rheinblick Rovers,Yusuf,García,Netherlands,30,187,80,8004876,Both,RWB,No,Yes,0
Rheinblick Rovers,Emil,Traoré,Denmark,36,176,80,6432738,Right,CB,Yes,Yes,0
Rheinblick Rovers,Florian,Traoré,Spain,31,182,76,7413415,Both,LB,No,Yes,24
Rheinblick Rovers,Patrick,Krämer,Argentina,25,193,63,3188728,Right,RM,Yes,Yes,0
Rheinblick Rovers,Santiago,Traoré,Turkey,28,184,86,5850299,Both,GK,No,Yes,21
Rheinblick Rovers,Patrick,Krämer,Argentina,20,192,75,7135567,Both,LWB,No,No,0
Rheinblick Rovers,Ismael,Schmidt,Belgium,23,179,63,9459888,Both,LW,Yes,No,0
Rheinblick Rovers,Florian,García,Italy,19,169,70,8641681,Right,RWB,Yes,No,0
Rheinblick Rovers,Jonas,Lehmann,Poland,17,165,63,1306883,Left,SS,No,No,19
Schwarzwald Strikers,Emil,Silva,England,17,190,69,5860422,Left,LB,No,Yes,0
Schwarzwald Strikers,Timo,García,Spain,20,167,77,1149123,Right,CB,Yes,Yes,0
Schwarzwald Strikers,Mamadou,Krämer,Ivory Coast,35,187,86,8364639,Both,CM,No,No,0
Schwarzwald Strikers,Lukas,Müller,England,32,180,76,7255418,Both,LWB,Yes,No,42
Schwarzwald Strikers,Timo,Müller,Germany,19,194,88,4371475,Right,RWB,Yes,Yes,0
Schwarzwald Strikers,Patrick,Silva,Ivory Coast,16,197,89,4572098,Left,CAM,No,No,28
Schwarzwald Strikers,Patrick,Silva,Denmark,16,193,81,3480821,Both,CB,No,No,30
Schwarzwald Strikers,Mamadou,Huber,Poland,26,187,77,1535586,Right,ST,Yes,Yes,9
Schwarzwald Strikers,Santiago,Huber,Brazil,16,173,83,1499315,Both,LB,Yes,No,4
Schwarzwald Strikers,Emil,Schmidt,Germany,35,182,83,7035313,Both,SS,No,No,0
Schwarzwald Strikers,Santiago,Müller,Turkey,30,183,70,2776838,Right,LM,Yes,Yes,0
Schwarzwald Strikers,Jonas,Silva,Spain,19,168,89,7909735,Both,CM,No,No,22
Schwarzwald Strikers,Timo,Müller,Poland,32,195,73,7788143,Both,LM,Yes,Yes,0
Schwarzwald Strikers,Santiago,Kaya,Senegal,23,198,82,2498610,Left,GK,Yes,No,22
Schwarzwald Strikers,Santiago,Silva,Belgium,19,200,74,5375929,Both,SS,No,Yes,0
Schwarzwald Strikers,Emil,Lehmann,Senegal,33,170,72,7947478,Left,CAM,No,No,39
Schwarzwald Strikers,Yusuf,García,Turkey,26,187,62,1664746,Both,ST,No,Yes,33
Schwarzwald Strikers,Ismael,Schmidt,Netherlands,17,186,64,1817903,Right,CDM,No,No,17
Schwarzwald Strikers,Yusuf,Lehmann,Spain,25,184,84,7856085,Both,RWB,No,No,0
Schwarzwald Strikers,Lukas,Huber,Brazil,31,188,76,6319008,Left,GK,No,Yes,0
Nordsee Navigators,Emil,Huber,Poland,33,189,86,3808220,Both,LW,No,No,0
Nordsee Navigators,Florian,Lehmann,Belgium,35,184,88,8774163,Both,RW,No,Yes,0
Nordsee Navigators,Patrick,Kaya,Italy,26,188,82,1287277,Right,CF,Yes,Yes,0
Nordsee Navigators,Emil,Schmidt,Ivory Coast,26,186,82,3884891,Both,LW,No,Yes,24
Nordsee Navigators,Florian,Huber,Belgium,25,197,66,1298461,Right,CDM,No,Yes,0
Nordsee Navigators,Yusuf,Müller,Argentina,16,177,67,2373042,Left,CM,Yes,No,24
Nordsee Navigators,Florian,Huber,Belgium,16,178,77,8521548,Right,CB,No,No,0
Nordsee Navigators,Ismael,Kaya,Poland,18,194,75,2782025,Both,CB,No,No,0
Nordsee Navigators,Santiago,Huber,Poland,22,168,65,7244910,Both,SW,No,Yes,0
Nordsee Navigators,Marco,Huber,Germany,20,180,64,6586974,Right,RB,No,No,44
Nordsee Navigators,Marco,Müller,Netherlands,32,172,61,3572164,Left,RW,No,No,0
Nordsee Navigators,Marco,Traoré,Poland,18,183,90,9524356,Left,SS,Yes,No,35
Nordsee Navigators,Jonas,Traoré,Poland,27,178,81,3491636,Both,LW,Yes,No,48
Nordsee Navigators,Patrick,Schmidt,Denmark,20,180,62,3489859,Right,ST,Yes,No,38
Nordsee Navigators,Emil,Lehmann,Italy,30,185,90,8570965,Both,LB,Yes,No,45
Nordsee Navigators,Florian,Huber,Turkey,22,188,75,2134709,Both,ST,Yes,Yes,37
Nordsee Navigators,Jonas,Huber,Brazil,31,197,66,3875148,Both,SS,Yes,No,0
Nordsee Navigators,Jonas,Schmidt,France,29,200,85,1472010,Both,GK,No,No,0
