Team Name,Stadium Capacity,German League Titles Won,International Champions League Titles Won,Fans Worldwide (millions),Times Promoted,Times Relegated
Adlerstadt Eagles,75000,28,6,80,0,0
Rheinblick Rovers,50000,5,1,12,2,1
Schwarzwald Strikers,38000,0,0,6,5,4
Nordsee Navigators,42000,3,0,15,1,0
Bayerhafen Dynamo,62000,12,3,40,0,0
Blitzstadt Lightning,48000,7,2,22,0,0
Sonnendorf Stars,32000,0,0,4,6,6
Ostheim Phoenix,35000,1,0,10,3,2
Kaiserstadt Kings,60000,13,4,50,0,0
Bergland Bears,20000,0,0,2,7,8
Mainburg Lions,55000,9,1,25,1,0
Alpenheim Warriors,28000,0,0,5,4,4
Weserwind Wolves,38500,4,0,14,1,1
Eisbach Falcons,22000,0,0,3,8,9
Hafenstadt Mariners,40000,2,0,18,2,0
Donnerwald Thunder,30000,0,0,7,6,5
Hansestadt Gladiators,46000,6,1,21,0,0
Elbwelle Titans,25000,0,0,9,5,6
